OEM,Slice,GroundTruth,ExpectedSystem,ExpectedCategory,GoodTokens,ExpectedMake,Chassis,Prefix5,Mode,EnrichmentLevel,HttpStatus,ElapsedS,IsTimeout,Total,SearchStrategy,SourceStrategy,Confidence,FirstDesc,FirstBrand,FirstCategory,AftermarketCount,AftermarketSample,SpecsCount,VehiclesCount,DocsCount,HasSupersession,OEMNumbersCount,OEMNumbersSample,WarningsCount,Warnings
28113-J5300,real_hk_seeded,exists,Engine,Air Filter,"air,filter",Hyundai/Kia,J5,28113,combined,full,200,10.55,False,11,combined,"cache,prefix_inference",0.9975,Air Filter,Hyundai / KIA,Engine / Air Filter,0,,0,0,0,false,0,,0,
45621-4G400,real_hk_coarse,exists,Transmission,Manual Transmission,"manual,transmission",Hyundai/Kia,4G,45621,combined,full,200,2.16,False,1,combined,"cache,exact_oem,legacy",0.937125,PISTON - LOWER &amp; REVERSE BRAKE,Hyundai / KIA,Transmission / Manual Transmission,0,,0,0,0,false,0,,0,
05203-R0500,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,R0,05203,combined,full,200,0.71,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
58302-CVA50,real_hk_seeded,exists,Brakes,Brake Pad Set - Rear,"brake,pad,set,rear",Hyundai,CV,58302,combined,full,200,2.92,False,2,combined,"cache,prefix_inference",0.9975,"Brake Pad Set, disc brake for Hyundai Staria (2021+)",Hyundai,Brakes / Brake Pad Set,0,,0,0,0,false,0,,0,
87610-AT440,real_hk_seeded,exists,Body,Exterior Mirror,"exterior,mirror",Hyundai/Kia,AT,87610,combined,full,200,4.39,False,1,combined,"cache,prefix_inference",0.9975,Outside Mirror,Hyundai / KIA, / Outside Mirror,0,,0,0,0,false,0,,0,
39222-2S000,real_hk_coarse,exists,Electrical,Oxygen Sensor,"oxygen,sensor",Hyundai,2S,39222,combined,full,200,2.27,False,1,combined,"cache,exact_oem,legacy",0.937125,EXTENSION WIRE,Hyundai / KIA,Electrical / Oxygen Sensor,0,,0,0,0,false,0,,0,
99910-AT300,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,AT,99910,combined,full,200,0.57,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
51712-L0000,real_hk_seeded,exists,Brakes,Brake Disc - Front,"brake,disc,front",Hyundai/Kia,L0,51712,combined,full,200,3.82,False,2,combined,"cache,prefix_inference",0.9975,Brake Disc,Hyundai / KIA,Brakes / Brake Disc,0,,0,0,0,false,0,,0,
31111-J4100,real_hk_coarse,exists,Drivetrain,Front Differential,"front,differential",Hyundai/Kia,J4,31111,combined,full,200,2.24,False,2,combined,"cache,prefix_inference",0.9975,Fuel Pump,Hyundai / KIA, / Fuel Pump,0,,0,0,0,false,0,,0,
99110-CV000,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai,CV,99110,combined,full,200,0.6,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
54650-G0500,real_hk_seeded,exists,Suspension,Shock Absorber - Front,"shock,absorber,front",Hyundai/Kia,G0,54650,combined,full,200,3.02,False,2,combined,"cache,prefix_inference",0.9975,Shock Absorber (Rear),Hyundai / KIA,Suspension / Shock Absorber / Strut,0,,0,0,0,false,0,,0,
86531-P1000,real_hk_coarse,exists,Body,Mirrors,mirrors,Kia,P1,86531,combined,full,200,3.18,False,2,combined,"cache,prefix_inference",0.9975,"Support, bumper for Kia Sportage (2021+)",Kia," / Support, bumper",0,,0,0,0,false,0,,0,
99240-S9700,real_hk_unseeded,exists,Unknown,Unknown,,Hyundai/Kia,S9,99240,combined,full,200,0.49,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
87610-M7011,real_hk_seeded,exists,Body,Exterior Mirror,"exterior,mirror",Hyundai/Kia,M7,87610,combined,full,200,4.01,False,1,combined,"prefix_inference,cache",0.9975,Outside Mirror,Hyundai / KIA, / Outside Mirror,0,,0,0,0,false,0,,0,
58411-L1000,real_hk_seeded,exists,Brakes,Brake Disc - Rear,"brake,disc,rear",Hyundai,L1,58411,combined,full,200,2.31,False,2,combined,"cache,prefix_inference",0.9975,Brake Disc for Hyundai Sonata (2020+),Hyundai,Brakes / Brake Disc,0,,0,0,0,false,0,,0,
31112-C0000,real_hk_seeded,exists,Engine,Fuel Filter,"fuel,filter",Hyundai/Kia,C0,31112,combined,full,200,2.83,False,2,combined,"exact_oem,legacy",0.7875,FILTER - FUEL PUMP,Hyundai / KIA,Drivetrain / Front Differential,0,,0,0,0,false,0,,0,
93530-P1000,real_hk_coarse,exists,Electrical,Lighting - Interior,"lighting,interior",Kia,P1,93530,combined,full,200,4.14,False,0,combined,,0,,,,0,,0,0,0,false,0,,0,
99211-P1040,real_hk_unseeded,exists,Unknown,Unknown,,Kia,P1,99211,combined,full,200,0.48,False,0,hk_scope_rejected,,0,,,,0,,0,0,0,false,0,,1,This OEM format looks HK-shaped but the prefix is not in the Hyundai/Kia catalog.
39350-3N600,real_hk_seeded,exists,Electrical,MAF Sensor,"maf,sensor",Hyundai/Kia,3N,39350,combined,full,200,2.72,False,2,combined,"cache,prefix_inference",0.9975,"Sensor, camshaft position (Passenger)",Hyundai / KIA," / Sensor, camshaft position",0,,0,0,0,false,0,,0,
